Version,Date,Description of Change,_page,Caution: ALWAYS CONNECT JETSON ORIN NANO and ALL EXTERNAL PERIPHERAL,Note: The developer kit carrier board has been modified to only support 5V to the module.,Pin #,Connector Pin,Associated Module Pin,Module,Module Pin Name,Type/Dir,Module Pin Name (see Note 1 and 2),Usage/Description,Module Pin #,N > >,otes:,Module Pin,Module Pin.1,Module.1,Notes:,Type/Dir.1,Header Pin #,SoC Pin Name,Pin Drive,Pin,Type/Dir Default,Associated Module Pin Name,Power Rails,Usage,(V),Power Supply or Gate,Source,Enable,Max Current (A),Connector
,,,19,,,,,,PCIE0_TX1_P,,142,,,,,,37,,,,38,,,,,,,,,,,,,,
,,,19,,,,,,–,,–,,,,,,39,Ground,Ground,,40,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_RX0_N,,131,,,,,,41,PCIe IF #0 Lane 0 Receive,Input,,42,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_RX0_P,,133,,,,,,43,,,,44,,,,,,,,,,,,,,
,,,19,,,,,,–,,–,,,,,,45,Ground,Ground,,46,,,,,,,,,,,,,,
,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_TX0_N,,134,,,,,,47,PCIe IF #0 Lane 0 Transmit,Output,,48,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_TX0_P,,136,,,,,,49,,,,50,,,,,,,,,,,,,,
,,,19,,,,,,,,,,,,,,51,,,,52,,,,,,,,,,,,,,
,,,19,,,,,,–,,–,,,,,,,Ground,Ground,,,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_CLK_N,,160,,,,,,53,PCIe IF #0 Reference Clock,Output,,54,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_CLK_P,,162,,,,,,55,,,,56,,,,,,,,,,,,,,
,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,,,,,–,,–,,,,,,57,Ground,Ground,,58,,,,,,,,,,,,,,
,,,19,,,,,,,,,,,,,,59,,,,60,,,,,,,,,,,,,,
,,,19,,,,,,,,,,,,,,61,,,,62,,,,,,,,,,,,,,
